start_date,end_date,kind,amount,accrual_factor,reset_date,outstanding,rate,outstanding_undrawn,discount_factor,pv,IRR,Path_Rank
2025-01-01,2025-01-01,notional,-25000000.0,0.0,,25000000.0,0.0,75000000.0,0.99975,-24993750.0,0.09709794325531745,Top_1
2025-01-01,2025-04-01,float_reset,375000.00000000006,0.25,,25000000.0,0.060000000000000005,75000000.0,0.9922533333333334,372095.0000000001,0.09709794325531745,Top_1
2025-04-01,2025-04-01,commitment_fee,93750.0,0.25,,25000000.0,0.005,75000000.0,0.9922533333333334,93023.75000000001,0.09709794325531745,Top_1
2025-04-01,2025-04-01,facility_fee,25000.0,0.25,,25000000.0,0.001,75000000.0,0.9922533333333334,24806.333333333336,0.09709794325531745,Top_1
2025-04-01,2025-04-01,notional,5583451.257623986,0.0,,19416548.742376015,0.0,80583451.25762399,0.9922533333333334,5540198.121881593,0.09709794325531745,Top_1
2025-04-01,2025-07-01,float_reset,294484.32259270287,0.25277777777777777,,19416548.742376015,0.060000000000000005,80583451.25762399,0.9847733333333333,290000.3079740246,0.09709794325531745,Top_1
2025-07-01,2025-07-01,commitment_fee,101848.5286728303,0.25277777777777777,,19416548.742376015,0.005,80583451.25762399,0.9847733333333333,100297.71507623867,0.09709794325531745,Top_1
2025-07-01,2025-07-01,facility_fee,25277.777777777777,0.25277777777777777,,19416548.742376015,0.001,80583451.25762399,0.9847733333333333,24892.88148148148,0.09709794325531745,Top_1
2025-07-01,2025-07-01,notional,3541877.6870556804,0.0,,15874671.055320334,0.0,84125328.94467966,0.9847733333333333,3487946.696140779,0.09709794325531745,Top_1
2025-07-01,2025-10-01,float_reset,243411.62284824508,0.25555555555555554,,15874671.055320334,0.060000000000000005,84125328.94467966,0.97726,237876.44254467599,0.09709794325531745,Top_1
2025-10-01,2025-10-01,commitment_fee,107493.47587375734,0.25555555555555554,,15874671.055320334,0.005,84125328.94467966,0.97726,105049.0742323881,0.09709794325531745,Top_1
2025-10-01,2025-10-01,facility_fee,25555.55555555555,0.25555555555555554,,15874671.055320334,0.001,84125328.94467966,0.97726,24974.42222222222,0.09709794325531745,Top_1
2025-10-01,2025-10-01,notional,5422732.551442474,0.0,,10451938.50387786,0.0,89548061.49612214,0.97726,5299419.613222673,0.09709794325531745,Top_1
2025-10-01,2026-01-01,float_reset,160263.0570594605,0.25555555555555554,,10451938.50387786,0.060000000000000005,89548061.49612214,0.9697644444444445,155417.41449423603,0.09709794325531745,Top_1
2026-01-01,2026-01-01,commitment_fee,114422.52302282273,0.25555555555555554,,10451938.50387786,0.005,89548061.49612214,0.9697644444444445,110962.89447115935,0.09709794325531745,Top_1
2026-01-01,2026-01-01,facility_fee,25555.55555555555,0.25555555555555554,,10451938.50387786,0.001,89548061.49612214,0.9697644444444445,24782.869135802466,0.09709794325531745,Top_1
2026-01-01,2026-01-01,notional,-345518.71118516516,0.0,,10797457.215063024,0.0,89202542.78493698,0.9697644444444445,-335071.7609976422,0.09709794325531745,Top_1
2026-01-01,2026-04-01,float_reset,161961.85822594535,0.25,,10797457.215063024,0.060000000000000005,89202542.78493698,0.9626144444444444,155906.82417735827,0.09709794325531745,Top_1
2026-04-01,2026-04-01,commitment_fee,111503.17848117121,0.25,,10797457.215063024,0.005,89202542.78493698,0.9626144444444444,107334.57020744236,0.09709794325531745,Top_1
2026-04-01,2026-04-01,facility_fee,25000.0,0.25,,10797457.215063024,0.001,89202542.78493698,0.9626144444444444,24065.36111111111,0.09709794325531745,Top_1
2026-04-01,2026-04-01,notional,-776248.6730379894,0.0,,11573705.888101013,0.0,88426294.11189899,0.9626144444444444,-747228.1851472014,0.09709794325531745,Top_1
2026-04-01,2026-07-01,float_reset,175534.53930286536,0.25277777777777777,,11573705.888101013,0.060000000000000005,88426294.11189899,0.955385,167703.06583186804,0.09709794325531745,Top_1
2026-07-01,2026-07-01,commitment_fee,111761.0106136501,0.25277777777777777,,11573705.888101013,0.005,88426294.11189899,0.955385,106774.7931251221,0.09709794325531745,Top_1
2026-07-01,2026-07-01,facility_fee,25277.777777777777,0.25277777777777777,,11573705.888101013,0.001,88426294.11189899,0.955385,24150.00972222222,0.09709794325531745,Top_1
2026-07-01,2026-07-01,notional,-7171081.910536406,0.0,,18744787.79863742,0.0,81255212.20136258,0.955385,-6851144.091097824,0.09709794325531745,Top_1
2026-07-01,2026-10-01,float_reset,287420.07957910706,0.25555555555555554,,18744787.79863742,0.060000000000000005,81255212.20136258,0.9480761111111111,272496.1113026059,0.09709794325531745,Top_1
2026-10-01,2026-10-01,commitment_fee,103826.10447951884,0.25555555555555554,,18744787.79863742,0.005,81255212.20136258,0.9480761111111111,98435.04936675813,0.09709794325531745,Top_1
2026-10-01,2026-10-01,facility_fee,25555.55555555555,0.25555555555555554,,18744787.79863742,0.001,81255212.20136258,0.9480761111111111,24228.61172839506,0.09709794325531745,Top_1
2026-10-01,2026-10-01,notional,3395883.70082563,0.0,,15348904.09781179,0.0,84651095.90218821,0.9480761111111111,3219556.2128643715,0.09709794325531745,Top_1
2026-10-01,2027-01-01,float_reset,235349.86283311408,0.25555555555555554,,15348904.09781179,0.060000000000000005,84651095.90218821,0.9408237962962963,221422.751408463,0.09709794325531745,Top_1
2027-01-01,2027-01-01,commitment_fee,108165.28920835159,0.25555555555555554,,15348904.09781179,0.005,84651095.90218821,0.9408237962962963,101764.47802048815,0.09709794325531745,Top_1
2027-01-01,2027-01-01,facility_fee,25555.55555555555,0.25555555555555554,,15348904.09781179,0.001,84651095.90218821,0.9408237962962963,24043.274794238678,0.09709794325531745,Top_1
2027-01-01,2027-01-01,notional,-9716885.798017545,0.0,,25065789.895829335,0.0,74934210.10417067,0.9408237962962963,-9141877.384668432,0.09709794325531745,Top_1
2027-01-01,2027-01-01,notional,25065789.89582933,0.0,,3.725290298461914e-9,0.0,100000000.0,0.9408237962962963,23582491.606959496,0.09709794325531745,Top_1
